e_cig,smoke_cig,cigar,other_tob,vape_mj,grade,sex,native,asian,black,pac_island,white,hispanic,internet_ads,TV/stream_ads,social_ads,internet_use,TV/stream_use,social_use,addictive,harm_self,harm_others,real_cost,health_seen,health_asked,tob_home
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,2.0,2.0,1.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,-1.0,3.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,1.0,0.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,3.0,4.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,3.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,0.0,1.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,5.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,-1.0,3.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,4.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,5.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,1.0,1.0,1.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,0.0,0.0
1.0,0.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,-1.0,2.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,4.0,0.0,1.0,0.0,0.0
0.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,9.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,1.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0
0.0,1.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,-1.0,3.0,2.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,2.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0
0.0,0.0,1.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0,4.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,4.0,3.0,1.0,1.0,0.0,1.0
1.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0
1.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,1.0,1.0,1.0,-1.0,2.0,1.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,4.0,1.0,1.0,1.0,-1.0,2.0,4.0,1.0,1.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0
